Pesticide,Year Updated,CAS number,Acute1,Chronic2,Acute3,Chronic4,Acute5,Acute6,"Maximum 				Concentration 				(CMC)","Continuous 				Concentration 				(CCC)"
Cyflumetofen degradate A-2 (4-tert-Butylphenyl-acetonitrile),2016,3288-99-1,3545, ,5260, , , , , 
Cyflumetofen degradate AB-1,2016, , , , ,34200, , , , 
Cyflumetofen degradate AB-1 dimer,2016, , , , ,5.61, , , , 
"Cyflumetofen degradate AB-11 (Benzenepropanoic acid,a-cyano-a-[4-(1,1-dimethylethyl)phenyl]-b-oxo-2-(trifluoromethyl)-,1-methylethyl ester)",2016,400882-00-0, , , , ,> 483, , , 
Cyflumetofen degradate B-1 (2-(trifluoro methyl) benzoic acid),2016,433-97-6,> 48950, ,> 88750, ,> 102700, , , 
Cyflumetofen degradate B-2,2016,400882-07-7, , ,> 10, , , , , 
Cyfluthrin,2016,68359-37-5,0.034,0.01,0.0125,0.0074,> 181, , , 
"Cyfluthrin, beta",2016,68359-37-5,0.034, ,0.145, , , , , 
Dacthal (DCPA),2016,1861-32-1,15000, ,13500, ,> 11000,> 11000, , 
Diazinon,2016,333-41-5,45,< 0.55,0.105,0.17,3700, ,0.17,0.17
Dicamba acid,2016,1918-00-9,14000, ,> 50000, ,61,> 3250, , 
"Dicamba, dimethylamine salt",2016,2300-66-5,488500, ,781500, , , , , 
"Dicamba, sodium salt",2016,1982-69-0,253600, ,17300, , , , , 
Dichlobenil,2016,1194-65-6,2465,< 330,3100,560,1500,30, , 
"Dichloroprop (2,4-DP)",2016,120-36-5,> 45750, ,279000,100000,77,32000, , 
Difethialone,2016,104653-34-1,25.5, ,2.2, , , , , 
Dimethoate,2016,60-51-5,3100,430,21.5,0.5,20000,> 92600, , 
Dinotefuran,2016,165252-70-0,> 49550,6360,> 484150,> 95300,> 97600,> 110000, , 
Dinotefuran degradate dn phosphate,2016, , , ,> 55300, ,> 100400, , , 
Dinotefuran degradate MNG,2016, , , , , ,> 98700, , , 
Dodine,2016,10/3/2439,285,99,8.9,7.3,0.95, , , 
Endosulfan sulfate,2016,1031-07-8,1.9, ,150, , , , , 
EPN,2016,2104-64-5, , , , , , , , 
Esbiol,2016,28434-00-6,3.9, , , , , , , 
Esbiol (s-bioallethrin),2016,28434-00-6,4.7, , , , , , , 
ethalfluralin,2016,55283-68-6,16,0.4,30,24,25,7.3, , 
Ethephon,2016,16672-87-0,44000, ,15850,17000,23500,2500, , 
Ethoprop,2016,13194-48-4,150,24,22,0.8,8400, , , 
Fenoxaprop-ethyl,2016,66441-23-4,155, ,1590,560,650, , , 
Fenoxaprop-p-ethyl,2016,71283-80-2,230,44,> 550,230,430,> 3000, , 
Fenoxaprop-p-ethyl (AE F046360),2016,71283-80-2,230,44,> 550,230,430,> 3000, , 
Fenoxaprop-p-ethyl degradate AE F054014 (Chlorobenzoxazolone),2016,95-25-0,> 5000, ,3300, ,7500, , , 
Fenoxaprop-p-ethyl degradate AE F088406 (Fenoxaprop-p acid),2016,71283-80-2,> 34400,1800,7100,340,44000, , , 
Fenoxaprop-p-ethyl degradate AE F096918,2016,71283-80-2,159000,31000,> 92800,< 310,14000, , , 
Fenthion,2016,55-38-9,415,7.5,2.6,0.013,400,> 2800, , 
"Fipronil degradate 5-amino- 1 -(2,6-dichloro-4-trifluoromethylphenyl)-3-cyano-4-trifluoro-methyl-thiopyrazole (MB45950)",2016, ,41.5,6.6,1.065,0.11,140,> 100, , 
Fipronil degradate fipronil desulfinyl (MB46513),2016, ,10,0.54,100,10.31,140,> 100, , 
Fipronil degradate fipronil sulfone (MB46136),2016, ,12.5,0.67,0.36,0.037,140,> 100, , 
Florasulam,2016,145701-23-1,> 50000,119000,> 146000,38900,3.45,1.18, , 
Fludioxonil,2016,131341-86-1,235,19,450,< 19,70,> 1000, , 
Flumioxazin,2016,103361-09-7,1150,7.7,2750,28,0.83,0.49, , 
Flutriafol,2016,76674-21-0,16500,4800,33550,310,460,780, , 
Formetanate HCl,2016,23422-53-9,1350,480,45,0.5, , , , 
Fosamine Ammonium,2016,25954-13-6,188500, ,762000, ,> 15000,> 21000, , 
Gamma-cyhalothrin,2016,76703-62-3,0.0145, ,0.00024, ,> 2850, , , 
Glyphosate degradate aminomethyl phosphoric acid (AMPA),2016,1066-51-9,249500, ,341500, , , , , 
Glyphosate isopropylamine salt,2016,38641-94-0,34700, , , , , , , 
Imazapic ammonium,2016, , , , , , , , , 
Imazosulfuron,2016,122548-33-8,> 34500,2900,> 45500,840,206,1.46, , 
Imazosulfuron degradate (IPSN),2016, , , , ,11000, ,> 113000, , 
Indoxacarb degradate (IN-JT333),2016, ,12,5.5,> 14.5,3.6, , , , 
indoxacarb degradate (IN-MP819),2016, ,> 184,84.9,32,8, , , , 
Indoxacarb degradate (KN127),2016, ,197, , , , , , , 
"Indoxacarb degradate- (IN-JT333) (methyl-7-chloro-2,5-dihydro -2-[[[4(trifluoromethoxy)phenyl]amino]carbonyl]indeno[1,2e][1,3,4]oxadiazine -4a(3H)-carboxylate)",2016, ,12,5.5,> 14.5,3.6, , , , 
"Indoxacarb degradate- (IN-MP819) (lndenol[1 ,2-e][1 ,3,4]oxadlazine-1 (2H)-carboxylic acid, 7-chloro-3,5-dlhydno-2-[[[4-(triftuoromethoxy)phenyl]amino]carbonyl]-, methyl ester)",2016, ,> 184,84.9,32,8, , , , 
Ipconazole,2016,125225-28-7,765,180,850, , , , , 
Isofetamid,2016,875915-78-9,1135,86,2350,< 390,> 4100,> 4900, , 
Isoxaflutole - rpa202248 (degradate),2016, ,> 15300, ,> 29800, ,5000,75, , 
Lindane (gamma HCH),2016,58-89-9,0.85,2.9,0.5,54, , ,0.95, 
MCPA DMAS,2016,2039-46-5,48000,12000,41000,11000,160,130, , 
MCPA EHE,2016,29450-45-1,380, ,90, ,170,20, , 
MCPA sodium salt,2016,3653-48-3,> 34000, ,> 92000, , , , , 
MCPB,2016,94-81-5,1950, ,25000, ,380,210, , 
MCPB sodium salt,2016,6062-26-6,1950, ,25000, ,380,210, , 
Mefenoxam,2016,70630-17-0,> 60500, ,20950,100, ,77000, , 
Metalaxyl,2016,57837-19-1,65000,9100,14000,100,140000,92000, , 
"Methanearsonic Acid, sodium salt MSMA",2016,2163-80-6,6650, ,38750, ,2800,53000, , 
Methiocarb,2016,2032-65-7,90,50,2.75, , , , , 
Methomyl,2016,16752-77-5,160,12,2.5,0.7, , , , 
Methoprene,2016,40596-69-8,380,48,165,51, , , , 
Methoxychlor,2016,72-43-5,7.5, ,0.7, , , , , 
Metsulfuron methyl,2016,74223-64-6,> 75000,4500,> 75000, ,31,0.36, , 
Mevinphos,2016,7786-34-7, , , , , , , , 
Momfluorothrin,2016,609346-29-4,0.6,3.1,3.9,3.1, ,> 2500, , 
MSMA,2016,2163-80-6,> 42500, ,38500, ,5630,104000, , 
Nicosulfuron,2016,111991-09-4,> 500000, ,> 500000,43000, , , , 
Novaluron,2016,116714-46-6,> 490,6.16,0.075,0.03,3549,> 75.4, , 
Orthosulfamuron,2016,213464-77-8,> 61000,6100,> 48650,6500,80,0.7, , 
Oryzalin,2016,19044-88-3,1440,220,750,358,52,13, , 
Oxamyl,2016,23135-22-0,2100,500,90,27,120,30000, , 
Oxathiapiprolin,2016,1003318-67-9,> 345,460,> 280,750,> 140,> 790, , 
Oxathiapiprolin degradate IN-E8S72 (5-(Trifluoromethyl)-1H-pyrazole-3-carboxylic acid),2016,129768-28-1,> 51000, ,> 50000, ,> 102000, , , 
Oxathiapiprolin degradate IN-P3X26 (2-[1-[2-[5-Methyl-3-(trifluoromethyl)-1H-pyrazol-1-yl]acetyl]-4-piperidinyl]-4-thiazolecarboxylic acid),2016,1003318-67-9,> 33850, ,> 33850, ,> 66400, , , 
"Oxathiapiprolin degradate IN-Q7D41 (1-[4-[4-[5-(2,6-Difluorophenyl)-3-isoxazolyl]-2-thiazolyl]-1-piperidinyl]-2-[5-methyl-3- (trifluoromethyl)-1H-pyrazol-1-yl]ethanone)",2016,1148046-53-0,> 90, ,> 75, ,> 210, , , 
Oxathiapiprolin degradate IN-QFD61 (1-[4-(4-Acetyl-2-thiazolyl)-1-piperindyl]- 2-[5-methyl-3-(trifluoromethyl)-1H-pyrazol-1-yl]ethanone),2016,1152179-07-1,> 3690, ,2570, ,> 7530, , , 
"Oxathiapiprolin degradate IN-QPS10 (4-[4-[5-(2,6-Difluorophenyl)-4,5-dihydro-3-isoxazolyl)-2-thiazolyl]piperidine)",2016,1148104-71-5,3270, ,7350, ,810, , , 
"Oxathiapiprolin degradate IN-RAB06 (1-[2-[4-[4-[5-(2,6-Difluorophenyl)-4,5-dihydro-3-isoxazolyl]-2-thiazolyl]-1-piperidinyl]-2-oxoethyl]- 3-(trifluoromethyl)-1H-pyrazole-5-carboxylic acid)",2016,1003318-67-9,> 24850, ,> 47650, ,> 96900, , , 
"Oxathiapiprolin degradate IN-RDT31 (1-[4-[4-[5-(2,6-Difluorophenyl)-4,5-dihydro-3-isoxazolyl]-2-thiazolyl]-4-hydroxy-1- piperidinyl]-2-[5-methyl-3-(trifluoromethyl)-1H-pyrazol-1-yl]ethanone)",2016,1151573-12-4,> 5800, ,> 5250, ,> 11400, , , 
"Oxathiapiprolin degradate IN-RSE01 (3-(2,6-Difluorophenyl)-3-hydroxy-1-[2-[1-[2-[5-methyl-3-(trifluoromethyl)-1H-pyrazol-1-yl]acetyl]- 4-piperidinyl]-4-thiazolyl]-1-propanone)",2016,1003318-67-9,> 4920, ,> 5100, ,> 10100, , , 
"Oxathiapiprolin degradate IN-RYJ52 (1-[4-[4-[(1S,3S)-3-(2,6-Difluorophenyl)-1,3-dihydroxypropyl]-2-thiazolyl]-1-piperindyl]-2-[5- methyl-3-(trifluoromethyl)-1H-pyrazol-1-yl]ethanone)",2016,1003318-67-9,> 6900, ,> 8100, ,> 15300, , , 
"Oxathiapiprolin degradate IN-S2K66 (1-[4-[4-[3-(2,6-Difluorophenyl)-1-hydroxypropyl]-2-thiazolyl]-1-piperidinyl]-2-[5-methyl-3- (trifluoromethyl)-1H-pyrazol-1yl]ethanone)",2016,1003318-67-9,> 3740, ,210, ,9210, , , 
Oxathiapiprolin degradate IN-S2K67 (1-[4-[4-(1-Hydroxyethyl)-2-thiazolyl)-1-piperindyl]- 2-[5-methyl-3-(trifluoromethyl)-1H-pyrazol-1-yl]ethanone),2016,1003318-67-9,> 41250, ,29600, ,> 83500, , , 
Pendimethalin,2016,40487-42-1,69,6.3,140,14.5,5.2,12.5, , 
Penoxsulam,2016,219714-96-2,> 51000,10200,> 49150,2950,92,3, , 
Penthiopyrad,2016,183675-82-3,145,100,1265.5,471,1200,> 1205, , 
Permethrin,2016,52645-53-1,0.395,0.0515,0.0195,0.0014,68, , , 
Picloram Potassium Salt,2016,2545-60-0,6500,550,34150,11800, , , , 
Picloram TIPA Salt,2016,6753-47-5,187500, , , , , , , 
Pinoxaden,2016,243973-20-8,6150,> 960,3000,5800,35,2900, , 
Pinoxaden (NOA 447204),2016, ,> 60000, ,> 60000, ,97000,> 93500, , 
Piperonyl Butoxide,2016,51-03-6,950,40,255,30, , , , 
Polybutene,2016,9003-29-6, , , , , , , , 
Potassium Salts of Fatty Acids,2016, ,4595, ,285,500,590,> 5000, , 
Prallethrin,2016,23031-36-9,6,3,3.1,0.65, ,> 1.324, , 
Prodiamine,2016,29091-21-2,> 6.5, ,> 6.5,1.5, , , , 
Propanil,2016,709-98-8,1150,9.1,265,86,16,110, , 
Pyrethrin,2016,8003-34-7,2.55,1.9,5.8,0.86, , , , 
Pyridaben,2016,96489-71-3,0.36,0.087,0.265,0.044,> 665,> 16.2, , 
Pyriproxyfen,2016,95737-68-1,> 165,4.3,200,0.015,56,> 0.18, , 
Rimsulfuron,2016,122931-48-0,> 195000, ,> 195000, ,> 29,11.6, , 
Rotenone,2016,83-79-4,0.97,1.01,1.85,1.25, , , , 
Sodium Acifluorfen,2016,62476-59-9,8500,< 3400,14050, ,> 355,378, , 
Sodium cyanide,2016,143-33-9,94, , , , , , , 
Sodium fluoroacetate,2016,62-74-8,27000, ,175300, , , , , 
Spiromesifen,2016,283594-90-1,8.4,0.49,> 46.15,0.25,> 94,> 101.3, , 
Spirotetramat,2016,203313-25-1,705,534,330,100,4050,4490, , 
Spirotetramat enol degradate,2016, ,> 50000, ,37450, ,> 100000,5400, , 
Spirotetramat keto hydroxy degradate,2016, , , ,> 50000, , , , , 
Sulfosulfuron,2016,141776-32-1,> 46800,100000,> 47300,102000,310,1, , 
Sumithrin (synonym: d-phenothrin),2016,26002-80-2,7.9,1.1,2.2,0.47, , , , 
Tebuconazole,2016,107534-96-3,1135,11,1440,120,1450,151, , 
Temephos,2016,3383-96-8,1745, ,5, , , , , 
Terbuthylazine,2016,5915-41-3,1800, ,19700, , , , , 
Thiacloprid,2016,111988-49-9,12600,918,18.9,0.97,45000,> 95400, , 
Thiacloprid amide,2016, ,> 39300, ,15600,100, , , , 
Thiacloprid sulfonic acid,2016, ,> 47550, ,> 48050, ,> 100000, , , 
Thiencarbazone-methyl,2016,317815-83-1,> 52000,4800,> 47000,3540,298,0.8, , 
Tralkoxydim,2016,87820-88-0,> 3750, ,> 87500,2100,7700,2600, , 
Tralomethrin,2016,66841-25-6,0.8,0.088,0.0195,0.0044, , , , 
Triazine DACT degradate,2016, ,> 50000, ,> 50000, , , , , 
Triazine DEA degradate,2016, , , , , ,1000, , , 
Triazine DIA degradate,2016, ,8500, ,63000, ,2500, , , 
Tribenuron methyl,2016,101200-48-0,> 50000,11800,360000,< 28000,22,2, , 
Vinclozolin,2016,50471-44-8,1420,60,2000,790,< 1060,> 900, , 
Zinc Phosphide,2016,1314-84-7, , , , , , , , 
1-Naphthalene acetic acid ammonium salt,2015,25545-89-5, , , , ,14900, , , 
1-Naphthalene acetic acid ethyl ester,2015,2122-70-5,1340, ,2840, , , , , 
1-Naphthalene acetic acid potassium salt,2015,15165-79-4, , , , , ,5100, , 
Acetaminophen,2015,103-90-2, , ,14750, , , , , 
Allethrin,2015,584-79-2,3.9, ,1.05, , , , , 
Aminopyralid,2015,150114-71-9,> 50000,1360,7500,102000,18000,> 88000, , 
Bioallethrin,2015,584792,4.7, , , , , , , 
Bispyribac-sodium,2015,125401-92-5,> 51000,9200,> 49600, ,250,12, , 
Boscalid,2015,188425-85-6,1350,116,< 2665,790,1340,> 3900, , 
Clethodim,2015,99129-21-2,12200,2,10100,940,2700,1340, , 
Clofentezine,2015,74115-24-5,> 17.1,6,> 17.1,26.2,> 34.2, , , 
Cyflumetofen,2015,400882-07-7,> 8.75,31.6,> 8.6,16.2,> 23.8,> 38.3, , 
Cyhalofop-butyl,2015,122008-85-9,380,134,> 292,47.4,890, , , 
Cyhalofop-butyl degradate Cyhalofop-acid,2015,122008-78-0,> 49600, ,> 50000, ,> 78200, , , 
Cyhalofop-butyl degradate Cyhalofop-amide,2015,122008-85-9,> 44200, ,> 50000, ,50000, , , 
Cyhalofop-butyl degradate Cyhalofop-diacid,2015,122008-85-9,> 47700, ,> 47950,98300,> 96400, , , 
Cyhalofop-butyl degradate FHPBA,2015,122008-85-9, , ,> 200, ,> 400, , , 
Cyhalofop-butyl degradate HPPA,2015,122008-85-9, , ,> 200, ,> 400, , , 
Cyromazine,2015,66215-27-8,> 42000,73000,> 44350,310,124000, , , 
Cyromazine degradate Melamine,2015,108-78-1,> 60000,500000,30000,18000,940000, , , 
"DEET (N,N-diethyl-m-toluamide)",2015,134-62-3,37500, ,37500, , , , , 
Denatonium Benzoate,2015,3734-33-6,> 500000, ,5100,2000,5000, , , 
Diclofop-methyl,2015,51338-27-3,75,7.5,185,64, ,1295, , 
Diclofop-methyl degradate Diclofop Acid,2015,40843-25-2,10950, , , , , , , 
Dicrotophos,2015,0000141-66-2,2850,9880,6.3,1.7,> 118000,> 117000, , 
Dikegulac sodium,2015,52508-35-7,> 60500, ,> 5000000, ,100000,9600, , 
Dimethenamid,2015,87674-68-8,3150,300,6000,1020,14,8.9, , 
Dithiopyr,2015,97886-45-8,235,56,> 850,81,20, , , 
Esbiothrin,2015,260359-57-7, , ,4.45, , , , , 
Ethaboxam,2015,162650-77-3,1090,880,185,50,> 3600, , , 
Ethoxyquin,2015,91-53-2,9000, ,1000, , , , , 
Etoxazole,2015,153233-91-1,> 185,15,3.65,0.13,> 51.9,> 56, , 
Etoxazole degradate 2-amino-2-(4-tert-butyl-2-ethoxyphenyl)ethanol (R-8),2015,153233-91-1,> 440, ,> 700, , , , , 
"Etoxazole degradate 2-amino-2-(4-tert-butyl-2-ethoxyphenyl)ethyl-2' ,6'-difluorobenzoate hydrochloride (R-7)",2015,153233-91-1, , ,> 370, ,> 990, , , 
"Etoxazole degradate 4-(4-tert-Butyl-2-ethoxyphenyl)-2-(2,6-difluorophenyl)-oxazole (R-13)",2015,153233-91-1,> 370, ,> 365, ,> 1000, , , 
"Etoxazole degradate N-(2,6-Difluorobenzoyl)-2-amino-2-(4-tert-butyl-2-ethoxyphenyl) ethane (R-4)",2015,153233-91-1, , ,> 650, , , , , 
"Etoxazole degradate N-(2,6-Difluorobenzoyl)-4-tert-butyl-2-ethoxybenzamide (R-3)",2015,153233-91-1,> 400, ,> 275, ,> 1000, , , 
Etridiazole (Terrazol),2015,2593-15-9,605,120,1540,370,72,8120, , 
"Etridiazole degradate 3-DCMT (5-ethoxy-3-dichloromethyl-1,2,4-thiadiazole)",2015,2593-15-9,385, ,550, , , , , 
Fenamidone,2015,161326-34-7,370,4.7,24.5,12.5,70,> 880, , 
"Fenamidone degradate RPA-410193 ((5S)-5-Methyl-5-phenyl-3-(phenylamino)-2,4-imidazolelidinedione) (phenylamino)-2,4-imidazolidinedione",2015,332855-88-6, , ,> 2750, , , , , 
"Fenamidone degradate RPA-412636 ((S)-Methyl-5-phenylimidazolidine-2,4- dione)",2015,27539-12-4,> 8600, ,> 48600, ,17300, , , 
"Fenamidone degradate RPA-412708 ((5S)-3,5-dihydro-5-methyl-2-(methylthio)-5-phenyl-4H-imidazole-4- one)",2015,332855-82-0,> 49000, ,> 50400, ,> 18700, , , 
"Fenamidone degradate RPA-413255 ((5S)-3,5-5-methyl-2-(methylthio)-3-[(2- nitrophenyl)amino]-5-phenyl-4Himidazole- 4-one)",2015,161326-34-7,> 1000, ,4850, , , , , 
Fenpyroximate,2015,134098-61-6,0.365,0.016,1.8,< 0.17,0.66,> 190, , 
"Fenpyroximate degradate M-3 ((E)-4-[(1,3-dimethyl-5-phenoxypyrazol-4-yl)methylene-aminooxy-methyl]-benzoic acid)",2015,134098-61-6,3100, ,6525, , , , , 
Flonicamid,2015,158062-67-0,> 49000,9500,> 49500,3000,> 96700,> 119000, , 
Fluazifop-p-butyl,2015,79241-46-6,225,203,2570, , , , , 
Fluazifop-p-butyl degradate 5-(trifluoromethyl)-2(1H)-pyridinone (R154719),2015,33252-63-0,120000, ,333000, ,340000, , , 
Fluensulfone,2015,318290-98-1,6500,630,11000,200,22,2700, , 
Fluensulfone degradate Butene Sulfonic Acid,2015,318290-98-1,> 61000, , , ,> 4400, , , 
Fluensulfone degradate Deschloro-Fluensulfone,2015,318290-98-1, , , , ,> 4500, , , 
Fluensulfone degradate Methyl Sulfone,2015,318290-98-1,17500, , , ,2500, , , 
