"Chemical Name","CAS Registry Number®a","USGS Parameter Code(s)","Chemical Class","MCL (µg/L) b ","Chronic Noncancer HHBP  (µg/L) c,d ","Carcinogenic HHBP (10-6 to 10-4) (µg/L) c,d ","Noncancer HBSL (µg/L) d,e ","Cancer HBSL (10-6 to 10-4) (µg/L) d,e ","Benchmark Remarks "
"Acetochlor sulfonic acid","187022-11-3","61029, 68523","Pesticide degradate","","","","","","NAV; Degradate of acetochlor CASRN 34256821"
"Alachlor oxanilic acid","171262-17-2","61031, 68526","Pesticide degradate","","","","","","NAV; Degradate of alachlor CASRN 15972608"
"Alachlor sulfinylacetic acid","494847-39-1","62848, 68527","Pesticide degradate","","","","","","NAV; Degradate of alachlor CASRN 15972608"
"Alachlor sulfonic acid","142363-53-9","50009, 68871","Pesticide degradate","","","","","","NAV; Degradate of alachlor CASRN 15972608"
"Aldicarb sulfone","1646-88-4","49313, 68529, 82587","Pesticide degradate","","","","6","","USEPA OW recommends that the concentration of any combination of two or more of the three aldicarb compounds should not be greater than 7 ug/L because of similar mode of action; degradate of aldicarb CASRN 116063"
"Aldicarb sulfoxide","1646-87-3","49314, 68530, 82586","Pesticide degradate","","","","6","","USEPA OW recommends that the concentration of any combination of two or more of the three aldicarb compounds should not be greater than 7 ug/L because of similar mode of action; degradate of aldicarb CASRN 116063"
"Aminomethylphosphonic acid","1066-51-9","62649","Pesticide degradate","","","","","","NAV; Degradate and metabolite (AMPA) of glyphosate CASRN 1071836"
"Azinphos-methyl oxon","961-22-8","61635, 68211","Pesticide degradate","","","","","","NAV; Degradate of azinphos-methyl CASRN 86500"
"Carbendazim","10605-21-7","68548","Pesticide degradate","","160","13.4-1340","","",""
"Carboxy molinate","66747-13-5","68549","Pesticide degradate","","","","","","NAV; Degradate (synonym molinate acid) of molinate CASRN 2212671"
"Chlorosulfonamide acid","130-45-0","68551","Pesticide degradate","","","","","","NAV; Metabolite (3-CSA) of halosulfuron methyl CASRN 100784201"
"Chlorpyrifos oxon","5598-15-2","61636, 68216","Pesticide degradate","","","",".7","","Degradate of chlorpyrifos CASRN 2921882"
"Clothianidin deg TMG","635283-91-9","52661","Pesticide degradate","","","","","","NAV; degradate of clothianidin, CASRN 210880925"
"Clothianidin deg TZNG","135018-15-4","52660","Pesticide degradate","","","","","","NAV; degradate of clothianidin, CASRN 210880925"
"Cyanazine-amide","36576-42-8","50010, 61709","Pesticide degradate","","","","","","NAV; also see cyanazine CASRN 21725462"
"Cyantraniliprole deg IN-JSE76","","52662","Pesticide degradate","","","","","",""
"Cyantraniliprole deg IN-K5A79","","52663","Pesticide degradate","","","","","",""
"Cyantraniliprole deg IN-RNU71","","52664","Pesticide degradate","","","","","",""
"Dacthal monoacid","887-54-7","49304, 68560","Pesticide degradate","","","","","","NAV; Metabolite of dacthal CASRN 1861321"
"Dechlorofipronil","","68561","Pesticide degradate","","","","","","NAV; Degradate of fipronil CASRN 120068373"
"Dechlorometolachlor","126605-22-9","63780, 68562","Pesticide degradate","","","","","","NAV; Degradate of metolachlor CASRN 51218452"
"Deethylatrazine","6190-65-4","04040, 68552, 75981","Pesticide degradate","","","","","","NAV; Degradate (acronym DEA) of atrazine CASRN 1912249 and propazine CASRN 139402"
"Deiodo flubendiamide","","68563","Pesticide degradate","","","","","","NAV; Degradate of flubendiamide CASRN 272451657"
"Deisopropyl prometryn","4147-57-3","61752, 68564","Pesticide degradate","","","","","","NAV; Degradate (synonyms: 2-amino-4-isopropylamino-6-methylthio-s-triazine and GS-11354) of prometryn, CASRN 7287196"
"Deisopropylatrazine","1007-28-9","04038, 68550, 75980","Pesticide degradate","","","","","","NAV; Degradate (acronym DIA) of atrazine CASRN 1912249 and simazine CASRN 122349"
"Demethyl fluometuron","3032-40-4","61753, 61755, 68591","Pesticide degradate","","","","","","NAV; Degradate (CGA-41686) of fluometuron CASRN 2164172"
"Demethyl hexazinone B","56611-54-2","68566","Pesticide degradate","","","","","","NAV; Metabolite of hexazinone CASRN 51235042"
"Demethyl norflurazon","23576-24-1","61754, 68567","Pesticide degradate","","","","","","NAV; Degradate of norflurazon CASRN 27314132"
"Desamino-diketo metribuzin","52236-30-3","68569","Pesticide degradate","","","","","","NAV; Metabolite (DADK) of metribuzin CASRN 21087649"
"Desethyl desisopropyl atrazine","3397-62-4","04039, 62674, 68547","Pesticide degradate","","12","","","",""
"Desulfinylfipronil","205650-65-3","62170, 66607","Pesticide degradate","","","","1","","Photodegradate (MB 46513) of fipronil CASRN 120068373"
"Desulfinylfipronil amide","","62169, 68570","Pesticide degradate","","","","","","NAV; Degradate of fipronil CASRN 120068373"
"Diazoxon","962-58-3","61638, 68236","Pesticide degradate","","","",".2","","Metabolite of diazinon CASRN 333415"
"Didemethyl hexazinone F","","68574","Pesticide degradate","","","","","","NAV; Metabolite of hexazinone CASRN 51235042"
"Diketonitrile-isoxaflutole","143701-75-1","68578","Pesticide degradate","","","","","","NAV; Metabolite (RPA 202248) of isoxaflutole CASRN 141112290"
"Dimethenamid oxanilic acid","","62482, 68581","Pesticide degradate","","","","","","NAV; Degradate of dimethenamid CASRN 87674688"
"Dimethenamid sulfinylacetic acid","","68583","Pesticide degradate","","","","","","NAV; Degradate of dimethenamid CASRN 87674688"
"Dimethenamid sulfonic acid","205939-58-8","61951, 68582","Pesticide degradate","","","","","","NAV; Degradate of dimethenamid CASRN 87674688"
"Dimethoate oxon","1113-02-6","68661","Pesticide degradate","","","","5","","Metabolite (synonym omethoate) of dimethoate CASRN 60515"
"Disulfoton oxon","126-75-0","68586","Pesticide degradate","","","","","","NAV; Degradate of disulfoton CASRN 298044"
"Disulfoton oxon sulfone","2496-91-5","68588","Pesticide degradate","","","","","","NAV; Degradate of disulfoton CASRN 298044"
"Disulfoton oxon sulfoxide","2496-92-6","68587","Pesticide degradate","","","","","","NAV; Degradate of disulfoton CASRN 298044"
"Disulfoton sulfone","2497-06-5","61640, 68589","Pesticide degradate","","","","","","NAV; Degradate of disulfoton CASRN 298044"
"Disulfoton sulfoxide","2497-07-6","61641, 68590","Pesticide degradate","","","","","","NAV; Degradate of disulfoton CASRN 298044"
"EPTC degradate R248722","65109-69-5","68594","Pesticide degradate","","","","","","NAV; Degradate (synonym N-2-hydroxypropyl EPTC) of EPTC CASRN 759944"
"Endosulfan ether","3369-52-6","61642","Pesticide degradate","","","","","","NAV; Degradate of endosulfan CASRN 115297"
"Endosulfan sulfate","1031-07-8","34351, 34352, 61590","Pesticide degradate","","","","40","","Degradate of endosulfan CASRN 115297"
"Endrin aldehyde","7421-93-4","34366","Pesticide degradate","","","","","","NAV; Degradate of endrin CASRN 72208"
"Ethion monoxon","17356-42-2","61644","Pesticide degradate","","","","","","NAV; Degradate of ethion CASRN 563122"
"Fenamiphos sulfone","31972-44-8","61645, 68600","Pesticide degradate","","","","","","NAV; Degradate of fenamiphos CASRN 22224926"
"Fenamiphos sulfoxide","31972-43-7","61646, 68601","Pesticide degradate","","","","","","NAV; Degradate of fenamiphos CASRN 22224926"
"Fenthion sulfoxide","3761-41-9","61647","Pesticide degradate","","","","","","NAV; Degradate of fenthion CASRN 55389"
"Fipronil amide","205650-69-7","","Pesticide degradate","","","","","","NAV; Metabolite (RPA 200766) of fipronil CASRN 120068373"
"Fipronil sulfide","120067-83-6","62167, 66610","Pesticide degradate","","","","","","NAV; Metabolite (MB 45950) of fipronil CASRN 120068373"
"Fipronil sulfonate","209248-72-6","68605","Pesticide degradate","","","","","","NAV; Degradate of fipronil CASRN 120068373"
"Fipronil sulfone","120068-36-2","62168, 66613","Pesticide degradate","","","","","","NAV; Metabolite (MB 46136) of fipronil CASRN 120068373"
"Flufenacet oxanilic acid","201668-31-7","62483","Pesticide degradate","","","","","","NAV; Degradate of flufenacet CASRN 142459583"
"Flufenacet sulfonic acid","201668-32-8","61952","Pesticide degradate","","","","","","NAV; Degradate of flufenacet CASRN 142459583"
"Fonofos, oxygen analog","944-21-8","61649","Pesticide degradate","","","","","","NAV; Degradate of fonofos CASRN 944229"
"Heptachlor epoxide","1024-57-3","39420, 39421","Pesticide degradate",".2","","","","",""
"Hexazinone Transformation Product C","72585-88-7","68612","Pesticide degradate","","","","","","NAV; Metabolite of hexazinone CASRN 51235042"
"Hexazinone Transformation Product D","30243-77-7","68613","Pesticide degradate","","","","","","NAV; Metabolite of hexazinone CASRN 51235042"
"Hexazinone Transformation Product E","72576-14-8","68614","Pesticide degradate","","","","","","NAV; Metabolite of hexazinone CASRN 51235042"
"Hexazinone Transformation Product G","","68713","Pesticide degradate","","","","","","NAV; Metabolite of hexazinone CASRN 51235042"
"Hydroxy didemethyl fluometuron","","68619","Pesticide degradate","","","","","","NAV; Metabolite of fluometuron CASRN 2164172"
"Hydroxy monodemethyl fluometuron","","68617","Pesticide degradate","","","","","","NAV; Metabolite of fluometuron CASRN 2164172"
"Hydroxyacetochlor","60090-47-3","63784, 68615","Pesticide degradate","","","","","","NAV; Degradate of acetochlor CASRN 34256821"
"Hydroxyalachlor","56681-55-1","63783, 68616","Pesticide degradate","","","","","","NAV; Degradate of alachlor CASRN 15972608"
"Hydroxydiazinon","29820-16-4","68618","Pesticide degradate","","","","","","NAV; Degradate of diazinon CASRN 333415"
"Hydroxyfluometuron","","68620","Pesticide degradate","","","","","","NAV; Metabolite of fluometuron CASRN 2164172"
"Hydroxymetolachlor","131068-72-9","63785, 68622","Pesticide degradate","","","","","","NAV; Degradate of metolachlor CASRN 51218452"
"Hydroxyphthalazinone","","68623","Pesticide degradate","","","","","","NAV; Degradate of diflufenzopyr CASRN 109293972"
"Hydroxysimazine","2599-11-3","63154, 68624","Pesticide degradate","","","","","","NAV; Degradate (G-30414) of simazine CASRN 122349"
"Imidacloprid olefin","115086-54-9","52782","Pesticide degradate","","","","","","NAV; degradate of imidacloprid, CASRN 138261413"
"Isoxaflutole acid metabolite RPA 203328","142994-06-7","68633","Pesticide degradate","","","","","","NAV; Metabolite (RPA 203328) of isoxaflutole CASRN 141112290"
"Malaoxon","1634-78-2","61652, 68240","Pesticide degradate","","","","3","","Metabolite of malathion CASRN 121755"
"Methomyl oxime","13749-94-5","61696, 68646","Pesticide degradate","","","","","","NAV; Metabolite of methomyl CASRN 16752775"
"Methyl cis-3-(2,2-dichlorovinyl)-2,2-dimethyl-(1-cyclopropane)-carboxylate","59897-93-7","79842","Pesticide degradate","","","","","","NAV; Degradate of cyfluthrin CASRN 68359375"
"Methyl trans-3-(2,2-dichlorovinyl)-2,2-dimethyl-(1-cyclopropane)-carboxylate","59897-94-8","79843","Pesticide degradate","","","","","","NAV; Degradate of cyfluthrin CASRN 68359375"
"Metolachlor hydroxy morpholinone","61520-54-5","68649","Pesticide degradate","","","","","","NAV; Metabolite (CGA-49751) of metolachlor CASRN 51218452"
"Metolachlor oxanilic acid","152019-73-3","61044, 68650","Pesticide degradate","","","","","","NAV; Metabolite (CGA-51202) of metolachlor CASRN 51218452"
"Metolachlor sulfonic acid","171118-09-5","61043, 68651","Pesticide degradate","","","","","","NAV; Metabolite (CGA-354743) of metolachlor CASRN 51218452"
"Metribuzin DK","56507-37-0","68653","Pesticide degradate","","","","","","NAV; Metabolite (DK) of metribuzin CASRN 21087649"
"Metribuzin-desamino","35045-02-4","68568","Pesticide degradate","","","","","","NAV; Metabolite (DA) of metribuzin CASRN 21087649"
"N-(3,4-Dichlorophenyl)-N'-methylurea","3567-62-2","68231","Pesticide degradate","","","","","","NAV; Degradate (acronym DCPMU) of diuron CASRN 330541"
"O-Ethyl-O-methyl-S-propylphosphorothioate","76960-87-7","61660, 68597","Pesticide degradate","","","","","","NAV; Metabolite (synonyms Metabolite III or O-Me) of ethoprop CASRN 13194484"
"O-Ethyl-S-methyl-S-propyl phosphorodithioate","76936-72-6","68657","Pesticide degradate","","","","","","NAV; Metabolite (synonyms Metabolite II or S-Me) of ethoprop CASRN 13194484"
"O-Ethyl-S-propylphosphorothioate","31110-62-0","68658","Pesticide degradate","","","","","","NAV; Metabolite (synonyms Metabolite IV or M-1) of ethoprop CASRN 13194484"
"Oxamyl oxime","30558-43-1","50410, 68665","Pesticide degradate","","","","","","NAV; Degradate of oxamyl CASRN 23135220"
"Paraoxon-ethyl","311-45-5","61663, 68666","Pesticide degradate","","","","","","NAV; Metabolite of ethyl parathion CASRN 56382"
"Paraoxon-methyl","950-35-6","61664, 68648","Pesticide degradate","","","","","","NAV; Metabolite of methyl parathion CASRN 298000"
"Phorate oxon","2600-69-3","61666, 68669","Pesticide degradate","","","","","","NAV; Metabolite of phorate CASRN 298022"
"Phorate oxon sulfone","2588-06-9","68670","Pesticide degradate","","","","","","NAV; Metabolite of phorate CASRN 298022"
"Phorate oxon sulfoxide","2588-05-8","68671","Pesticide degradate","","","","","","NAV; Metabolite of phorate CASRN 298022"
"Phorate sulfone","2588-04-7","68672","Pesticide degradate","","","","","","NAV; Metabolite of phorate CASRN 298022"
"Phorate sulfoxide","2588-03-6","68673","Pesticide degradate","","","","","","NAV; Metabolite of phorate CASRN 298022"
"Phosmet oxon","3735-33-9","61668","Pesticide degradate","","","",".02","","Metabolite of phosmet CASRN 732116"
"Phthalazinone","","68675","Pesticide degradate","","","","","","NAV; Metabolite of diflufenzopyr CASRN 109293972"
"Propachlor oxanilic acid","70628-36-3","62767","Pesticide degradate","","","","","","NAV; Degradate of propachlor CASRN 1918167"
"Propachlor sulfonic acid","947601-88-9","62766","Pesticide degradate","","","","","","NAV; Degradate of propachlor CASRN 1918167"
"Sulfosulfuron ethyl sulfone","","68690","Pesticide degradate","","","","","","NAV; Metabolite of sulfosulfuron CASRN 141776321"
"Tebupirimfos oxon","","61669, 68694","Pesticide degradate","","","","","","NAV; Metabolite (OMAT) of tebupirimfos (phostebupirim) CASRN 96182535"
"Tebuthiuron TP 104","59962-53-7","68575","Pesticide degradate","","","","","","NAV; Metabolite of tebuthiuron CASRN 34014181"
"Tebuthiuron TP 106","16279-27-9","68714","Pesticide degradate","","","","","","NAV; Metabolite of tebuthiuron CASRN 34014181"
"Tebuthiuron TP 108","39222-73-6","68696","Pesticide degradate","","","","","","NAV; Metabolite of tebuthiuron CASRN 34014181"
"Tebuthiuron TP 109 (Hydroxytebuthiuron)","59962-54-8","68621","Pesticide degradate","","","","","","NAV; Metabolite of tebuthiuron CASRN 34014181"
"Tebuthiuron TP 109 (OH)","139888-73-6","68697","Pesticide degradate","","","","","","NAV; Metabolite of tebuthiuron CASRN 34014181"
"Tefluthrin metabolite  [R 119364]","","61671","Pesticide degradate","","","","","","NAV; Metabolite of tefluthrin CASRN 79538322"
"Tefluthrin metabolite [R152912]","","61672","Pesticide degradate","","","","","","NAV; Metabolite of tefluthrin CASRN 79538322"
"Terbufos oxon","56070-14-5","68700","Pesticide degradate","","","","","","NAV; Metabolite of terbufos CASRN 13071799"
"Terbufos oxon sulfone","56070-15-6","61674, 68701","Pesticide degradate","","","","","","NAV; Metabolite of terbufos CASRN 13071799"
"Terbufos oxon sulfoxide","56165-57-2","68702","Pesticide degradate","","","","","","NAV; Metabolite of terbufos CASRN 13071799"
"Terbufos sulfone","56070-16-7","68703","Pesticide degradate","","","","","","NAV; Metabolite of terbufos CASRN 13071799"
"Terbufos sulfoxide","10548-10-4","68704","Pesticide degradate","","","","","","NAV; Metabolite of terbufos CASRN 13071799"
"Tetrahydrophthalimide","1469-48-3","","Pesticide degradate","","","","","","NAV; Metabolite (THPI) of captan CASRN 133062"
"alpha-HCH","319-84-6","34253, 39337","Pesticide degradate","","","","6","0.005-0.5",""
"cis-Bifenthrin acid/cis-Cyhalothrin acid/cis-Tefluthrin acid","68127-59-3","68553","Pesticide degradate","","","","","","NAV; degradate of bifenthrin CASRN 82657043, cyhalothrin CASRN 91465086, and tefluthrin CASRN 79538322"
"p,p'-DDD","72-54-8","39310, 39360, 39361","Pesticide degradate","","","","","0.1-10",""
"p,p'-DDE","72-55-9","34653, 39320, 39365, 39366","Pesticide degradate","","","","","0.09-9",""
"sec-Acetochlor oxanilic acid","152019-74-4","68684","Pesticide degradate","","","","","","NAV; Degradate of acetochlor CASRN 34256821"
"sec-Alachlor oxanilic acid","","68685","Pesticide degradate","","","","","","NAV; Degradate of alachlor CASRN 15972608"
